source,target,Weight
付家营路口(古渡口路),付家营东,1
付家营路口(古渡口路),师大附属官渡中学,1
众和东苑,众和康园,1
众和东苑,众和康园南门,2
众和佳苑,众和东苑,3
会展东路口(会展西路),会展西路口(巫家坝路),1
会展西路口(巫家坝路),永胜村(巫家坝路),1
体育中心,子君村(广福路),1
体院路,体院路(滇池学院),1
体院路(滇池学院),体院路口(兴体路),1
体院路口(兴体路),兴体路北段,3
佳园小区(白龙路),人与自然小区,6
佳园小区(白龙路),石闸立交桥(二环东路),1
佳园小区(白龙路),石闸立交桥(白龙路),4
佳湖花园(希望路),日新东路口(希望路),1
佳湖花园(日新东路),前兴路口(日新东路),1
佳湖花园(日新东路),前卫营(前兴路),2
佳湖花园(日新东路),洒金巷口(海埂路),1
佳湖花园(日新东路),绿荫大道路口,1
佳湖花园(日新东路),绿荫大道路口(希望路),1
佳湖花园(日新东路),锦苑花园(日新东路),6
俊福花园小区,俊福花城(天福苑),1
俊福花园小区,先锋路中段,1
俊福花城,俊福花园小区,1
俊福花城(天福苑),先锋路中段,1
信息产业基地(云景路),云景路口(林溪路),1
信息产业基地车场,王家营(石龙路),1
信息产业基地车场,石龙路口(秋锦路),1
俪景路口(联大街),池畔街口(月虹路),1
倪家营(林溪路),张溪营,1
倪家营(林溪路),秋锦路口(林溪路),2
假日城市小区,科光路口,1
假日城市小区(昌源中路),团山后所,2
假日城市小区(昌源中路),滇缅大道路口(昌源北路),1
假日城市小区(昌源中路),科锦路,3
假日城市小区(滇缅大道),假日城市小区(昌源中路),2
假日城市小区(滇缅大道),昌源路口(滇缅大道),3
假日城市小区(滇缅大道),滇缅大道路口(科新路),1
假日城市小区(滇缅大道),黑林铺(滇缅大道),4
假日城市小区(滇缅大道),黑林铺(黑林铺前街),2
假日湾小区(锦西路),广福路口(官南大道),1
傲云峰小区(海源北路),商院路口(海源北路),3
傲云峰小区(海源北路),科新路口(海源北路),1
傲春苑,吉祥路,1
傲春苑南门,华春苑,1
元春苑,迎宾路,1
先锋路中段,关锁中心学校,1
先锋路中段,螺蛳湾仓储区东,1
光明路,光明路东口,1
光明路东口,紫骏苑小区,1
光明路西口,光明路,1
八公里,八公里下穿路口,6
八公里,昆船大道路口(贵昆路),5
八公里,昌宏路口,1
八公里下穿路口,八公里,5
八公里下穿路口,牛街庄,2
八公里下穿路口,经开区车场,2
八公里下穿路口,经牛路口(昌宏路),2
公交东部修理公司,凉亭中路,2
公交西部修理公司,普吉路中段,3
公交西部修理公司(普吉路),普吉农贸市场,2
公交西部修理公司(普吉路),普吉路中段,6
公交西部修理公司(普吉路),王家桥路,1
公交西部修理公司(河北路),西北部公交枢纽站,1
公家村,公家村口,1
公家村,招呼站,1
公家村(昆石公路),耀兴枫丹白露公园(贵昆路),3
公家村(昆石公路),航天城,1
公家村(石安公路),小石坝收费站,1
公家村口,公家村,1
公家村口,小石坝下段,1
公教楼,恒园,1
六万,昆明工业职业技术学院,1
六甲(福保路),小康路口(福保路),1
六甲村西(福保路口),小康路口(福保路),1
六谷村(云秀路),子君村(彩云北路),1
六谷村(彩云北路),世纪城车场,2
六谷村(彩云北路),云秀路口,1
六谷村(彩云北路),云秀路口(彩云北路),6
六谷村(彩云北路),大都购物中心(彩云北路),3
六谷村(彩云北路),大都购物中心(珥季路),1
关上(彩云北路),三公里,1
关上(彩云北路),关上车场(黑土凹),1
关上(彩云北路),朱家村(彩云北路),4
关上(彩云北路),织布营,1
关上(彩云北路),菊花村,1
关上(日新路),关平路口(日新路),3
关上(日新路),官渡区医院,10
关上(民航路),关上(日新路),1
关上(民航路),关景路,2
