出发站,到达站,出发站lng,出发站lat,到达站lng,到达站lat
高新区管委会(科高路),新光巷口(科高路),102.658563,25.074965,102.660881,25.073798
新光巷口(科高路),小屯立交桥西口,102.660881,25.073798,102.664266,25.07224
小屯立交桥西口,普吉路南口,102.664266,25.07224,102.673672,25.066879
科高路口(科发路),小屯立交桥西口,102.662279,25.071146,102.664249,25.072235
小屯立交桥西口,交通学校,102.664249,25.072235,102.674388,25.072548
普吉路中段,小屯路口(陈家营路),102.671454,25.088733,102.668243,25.091249
小屯路口(陈家营路),西北部公交枢纽站(小屯路),102.668243,25.091249,102.665428,25.092865
西北部公交枢纽站(小屯路),普吉家园(小屯路),102.665428,25.092865,102.66539,25.09606
普吉家园(小屯路),沙河路口(沙河北路),102.66539,25.09606,102.661835,25.09753
沙河路口(沙河北路),云南省阜外医院(沙河北路),102.661835,25.09753,102.659345,25.098095
西部客运站(昆州路),益宁路口(春雨路),102.640846,25.036111,102.639314,25.035994
上村路口(春雨路),华苑路口(昆州路),102.640239,25.038312,102.647552,25.041512
张家村(昆州路),昌源南路,102.652168,25.04307,102.654793,25.043394
昌源南路,美丽新世界小区(昌源中路),102.654793,25.043394,102.655838,25.050842
美丽新世界小区(昌源中路),科光路口(昌源中路),102.655838,25.050842,102.656425,25.054312
科光路口(昌源中路),团山后所,102.656425,25.054312,102.656784,25.057058
团山后所,假日城市小区(昌源中路),102.656784,25.057058,102.657626,25.062756
假日城市小区(昌源中路),滇缅大道路口(昌源北路),102.657626,25.062756,102.657179,25.064115
滇缅大道路口(昌源北路),科发路口(昌源北路),102.657179,25.064115,102.656723,25.066415
科发路口(昌源北路),科新路口(昌源北路),102.656723,25.066415,102.655707,25.067891
